,Angels,Astros,Athletics,Blue Jays,Braves,Brewers,Cardinals,Cubs,Diamondbacks,Dodgers,Giants,Indians,Mariners,Marlins,Mets,Nationals,Orioles,Padres,Phillies,Pirates,Position,Rangers,Rays,Red Sox,Reds,Rockies,Royals,Tigers,Twins,White Sox,Yankees,Year
0,2.5,1.1,7.9,2.8,5.4,2.5,0.7,1.0,3.1,5.2,4.1,0.0,2.1,2.5,1.4,-1.7,1.9,4.8,2.1,-0.8,RP,5.2,0.7,3.6,3.6,4.5,0.9,0.8,2.1,5.3,4.8,2009
0,12.2,14.7,12.0,14.4,12.2,7.9,14.1,12.4,6.8,14.6,13.1,7.5,13.5,13.4,10.7,7.6,8.4,9.7,14.1,3.6,SP,13.7,11.0,15.7,11.1,16.3,7.9,13.4,14.9,18.0,11.3,2010
0,1.3,1.2,1.0,2.1,6.1,3.2,-0.1,1.4,-3.3,2.5,5.4,0.3,-0.8,1.1,2.0,4.5,2.7,7.8,1.9,1.1,RP,5.0,4.1,-0.2,3.4,4.7,0.2,2.4,2.9,6.2,3.3,2010
0,15.7,7.4,13.6,8.6,12.6,15.7,12.5,8.3,11.2,15.2,16.1,9.8,14.0,10.9,9.1,10.5,4.4,10.7,26.0,4.3,SP,17.0,13.7,8.2,6.1,8.4,7.8,13.9,8.8,19.1,14.8,2011
0,0.4,-1.1,2.9,1.7,6.1,5.4,1.2,3.1,2.6,3.1,4.4,2.7,1.0,2.4,1.2,3.3,1.9,2.8,2.1,1.5,RP,0.9,0.9,5.5,1.3,3.8,1.7,2.1,-0.8,5.5,6.3,2011
0,8.4,6.9,13.5,4.9,9.9,15.7,16.5,6.9,11.9,16.3,11.4,5.0,11.8,10.4,14.7,16.2,10.0,5.1,17.0,8.1,SP,15.8,16.9,4.8,14.3,2.6,7.1,19.8,2.0,13.4,14.9,2012
0,0.6,2.3,4.7,2.5,5.5,2.2,1.4,-2.3,4.5,3.2,1.5,3.8,3.1,1.7,0.6,3.2,6.2,2.9,3.0,2.3,RP,4.9,6.6,2.2,6.6,4.4,6.4,3.9,1.7,3.1,5.2,2012
0,8.1,7.3,11.0,5.7,13.4,8.0,15.6,9.5,7.8,16.7,7.2,14.2,11.3,8.5,14.3,14.0,6.8,6.9,12.2,13.3,SP,13.6,12.0,12.0,14.0,11.0,10.2,23.6,3.9,10.4,14.2,2013
0,1.3,-5.2,5.0,4.1,5.0,2.0,4.0,-0.5,1.6,3.5,2.0,2.0,2.8,4.4,1.9,3.1,3.9,1.2,0.7,4.5,RP,6.5,4.8,4.0,3.0,4.2,6.2,3.2,5.1,5.3,3.4,2013
0,11.8,11.2,11.8,11.2,12.4,10.9,12.4,13.3,8.0,16.2,10.1,17.5,11.2,9.0,12.4,18.2,9.2,11.1,10.1,8.7,SP,5.8,13.7,8.2,10.8,5.9,10.8,18.1,9.8,11.1,14.3,2014
0,3.7,-0.2,3.6,0.4,4.0,2.7,3.1,4.6,2.4,1.8,1.4,3.3,4.4,4.2,0.5,5.5,4.4,4.8,5.3,1.4,RP,2.5,3.1,3.9,2.0,-0.2,5.1,-0.1,1.4,-0.1,5.6,2014
0,9.3,15.1,11.6,10.8,6.0,7.3,16.7,19.2,6.5,17.5,7.8,16.1,9.2,7.0,17.1,18.0,9.1,9.6,4.9,17.4,SP,9.1,14.0,12.2,8.1,4.3,7.9,8.9,12.5,16.6,13.0,2015
0,3.2,5.0,-0.1,3.6,-1.0,3.6,4.6,5.0,2.5,4.3,2.0,4.9,1.4,3.4,3.5,3.7,6.4,2.3,3.5,5.0,RP,1.4,1.1,-1.3,2.1,2.0,4.8,0.2,2.0,2.8,5.3,2015
0,6.1,12.2,7.5,15.2,4.8,8.0,13.2,17.4,8.2,16.3,15.1,13.7,9.0,10.6,18.0,18.0,9.8,6.0,13.0,7.7,SP,8.2,12.0,13.5,2.6,11.6,5.2,12.9,6.2,12.4,11.7,2016
0,0.6,7.9,4.7,3.8,4.2,4.5,4.2,3.2,0.7,6.4,2.2,4.9,3.9,3.9,6.5,5.1,5.7,2.6,0.6,1.6,RP,1.9,0.2,4.7,-4.0,1.9,4.7,4.5,2.3,3.5,6.5,2016
0,5.5,15.2,7.9,10.7,8.7,13.3,12.4,11.8,18.8,16.7,10.1,23.1,6.2,3.9,8.8,17.3,5.5,7.0,8.5,11.7,SP,6.7,11.3,17.0,2.8,11.8,8.4,11.7,7.7,2.0,15.2,2017
0,6.6,5.6,2.3,5.8,1.1,4.8,4.4,4.1,4.5,7.6,1.5,8.6,3.6,2.0,1.2,2.5,2.3,0.5,4.3,2.2,RP,1.6,4.6,7.0,0.9,6.4,3.9,-1.2,2.2,2.5,9.2,2017
